station_id,station_name,year,month,day,tmin,tmean,tmax,precip
40769,Arak,2022,1,1,-1.2,4.4,10,0
40769,Arak,2022,1,2,1.6,3.7,5.8,4
40769,Arak,2022,1,3,0,3.2,6.4,3.4
40769,Arak,2022,1,4,0,4.4,8.8,0.6
40769,Arak,2022,1,5,2.2,3.9,5.6,0.21
40769,Arak,2022,1,6,-4.4,1.2,6.8,0
40769,Arak,2022,1,7,-4.4,2.9,10.2,0
40769,Arak,2022,1,8,-2.8,4,10.8,0
40769,Arak,2022,1,9,-3.2,4.4,12,0
40769,Arak,2022,1,10,-3.4,3.5,10.4,0
40769,Arak,2022,1,11,5.2,8.3,11.4,0
40769,Arak,2022,1,12,4.6,9.6,14.6,0
40769,Arak,2022,1,13,0.6,8.2,15.8,0.5
40769,Arak,2022,1,14,6,10.1,14.2,6.02
40769,Arak,2022,1,15,0.2,3.6,7,32.1
40769,Arak,2022,1,16,-1.6,2.1,5.8,0.01
40769,Arak,2022,1,17,-0.6,3.3,7.2,0.01
40769,Arak,2022,1,18,0.4,1.8,3.2,2.1
40769,Arak,2022,1,19,-9.8,-1.5,6.8,0
40769,Arak,2022,1,20,-3,1.3,5.6,0.02
40769,Arak,2022,1,21,-8,-4,0,0.1
40769,Arak,2022,1,22,-9.4,-1.8,5.8,0
40769,Arak,2022,1,23,-8,1.2,10.4,0
40769,Arak,2022,1,24,-4.2,3.3,10.8,0
40769,Arak,2022,1,25,-0.8,5.6,12,0
40769,Arak,2022,1,26,-3,5.1,13.2,0
40769,Arak,2022,1,27,1.2,4.8,8.4,3.01
40769,Arak,2022,1,28,-2,1.8,5.6,0
40769,Arak,2022,1,29,-5.8,-0.1,5.6,0
40769,Arak,2022,1,30,-5.4,0.9,7.2,0
40769,Arak,2022,1,31,-4.4,1.8,8,0
40769,Arak,2022,2,1,0,1.6,3.2,12.9
40769,Arak,2022,2,2,-11,-6.9,-2.8,0
40769,Arak,2022,2,3,-8.6,-5,-1.4,0
40769,Arak,2022,2,4,-4.6,4.5,13.6,0.6
40769,Arak,2022,2,5,0.4,3.4,6.4,2
40769,Arak,2022,2,6,0.8,4.1,7.4,0
40769,Arak,2022,2,7,-3,2.7,8.4,0
40769,Arak,2022,2,8,-3.8,3.3,10.4,0
40769,Arak,2022,2,9,-2.8,4.9,12.6,0
40769,Arak,2022,2,10,-3.4,6.8,17,0
40769,Arak,2022,2,11,4.8,5.8,6.8,1.11
40769,Arak,2022,2,12,0.6,3.8,7,0
40769,Arak,2022,2,13,-1.2,5.1,11.4,0
40769,Arak,2022,2,14,-2.2,4.9,12,0
40769,Arak,2022,2,15,-2.8,5.5,13.8,0
40769,Arak,2022,2,16,-1.4,5.1,11.6,0
40769,Arak,2022,2,17,-1,4.5,10,0
40769,Arak,2022,2,18,-1.6,4.9,11.4,0
40769,Arak,2022,2,19,2.8,5.2,7.6,12
40769,Arak,2022,2,20,1,5.4,9.8,8.2
40769,Arak,2022,2,21,1,5.7,10.4,0
40769,Arak,2022,2,22,-1,6.8,14.6,0
40769,Arak,2022,2,23,1.6,8.9,16.2,0
40769,Arak,2022,2,24,1,9.4,17.8,0
40769,Arak,2022,2,25,2.6,8.7,14.8,0.3
40769,Arak,2022,2,26,8.4,12.2,16,0
40769,Arak,2022,2,27,1,8.2,15.4,0
40769,Arak,2022,2,28,-0.4,7.1,14.6,0
40769,Arak,2022,3,1,0.6,8,15.4,0
40769,Arak,2022,3,2,3,9.4,15.8,0
40769,Arak,2022,3,3,3.8,12.1,20.4,0.51
40769,Arak,2022,3,4,5.4,10.1,14.8,26
40769,Arak,2022,3,5,0.8,7.4,14,0
40769,Arak,2022,3,6,1.8,7.1,12.4,0
